"filename", "language", "TypeScript", "Less", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/sre/mathmaps/nemeth.js", "JavaScript", 0, 0, -103, 0, 0, 0, -2, -105
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/sre/sre-node.js", "JavaScript", 0, 0, -10, 0, 0, -1, 0, -11
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/sre/sre_browser.js", "JavaScript", 0, 0, -447, 0, 0, -1187, 0, -1634
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mathjax/tex-svg-full.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/mermaid/mermaid.min.js", "JavaScript", 0, 0, -1, 0, 0, -1, -1, -3
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/plantuml/plantuml-encoder.min.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/method.ts", "TypeScript", -42, 0, 0, 0, 0, -20, -4, -66
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/hint/index.ts", "TypeScript", 97, 0, 0, 0, 0, 1, -2, 96
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/markdown/setLute.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 2
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/toolbar/MenuItem.ts", "TypeScript", 18, 0, 0, 0, 0, 1, 0, 19
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/toolbar/setToolbar.ts", "TypeScript", 53, 0, 0, 0, 0, 5, 0, 58
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/ui/initUI.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 37
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/util/addScript.ts", "TypeScript", 1, 0, 0, 0, 0, 4, 0, 5
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/util/hasClosest.ts", "TypeScript", 21, 0, 0, 0, 0, 6, 1, 28
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/ts/wysiwyg/index.ts", "TypeScript", 221, 0, 0, 0, 0, 11, 0, 232
"Total", "-", -26, -1771, -4515, -5277, -1, -1754, -1198, -14542
